TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1549374832420192257,"Noticed this #A380 ✈️ very special engine?
This new A380 flight test demonstrator will be equipped with a @CFM_engines cutting-edge open fan engine to test and mature fuel-efficient technologies! 💨 
Learn more: https://t.co/CRCz99n3fA https://t.co/L9UDCo0muD",Airbus,en,['A380'],28,142,674,37,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FYB78aSX0AINHPG.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1549372468447559680/vid/480x270/xcbKdN00wMMKed3C.mp4?tag=14', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1549372468447559680/vid/640x360/NGkisnGzCCk50UT0.mp4?tag=14', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1549372468447559680/vid/1280x720/1znd5ISbAwowIsQm.mp4?tag=14', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1549372468447559680/pl/N6TT3AbVN6cyOSMT.m3u8?tag=14&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=64.433, views=32585, altText=None)]",12,2022,7,July,19,Tuesday,29,2022-07-19,12:45:20
1549357055680585735,The #A350 is the most generous wide-body aircraft when it comes to passengers' comfort. What does it have on offer? Have a guess and click the link to find out the answer: https://t.co/6yfng0W02J,Airbus,en,['A350'],3,4,28,0,,11,2022,7,July,19,Tuesday,29,2022-07-19,11:34:42
1549356497309679616,"Meet the #A350 - the new ambassador of @ITAAirways. Supporting the airline's sustainability ambitions, it features the award-winning #AirspaceCabin that offers greater comfort on long distance flights from Rome to Buenos Aires, New-York or Los Angeles! #FIA2022 https://t.co/lnIbxfsbJC",Airbus,en,"['A350', 'AirspaceCabin', 'FIA2022']",9,54,464,6,"[Photo(previewUrl='https://pbs.twimg.com/media/FYBo3FjWAAEg1F9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYBo3FjWAAEg1F9?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FYBo3FjWAAQwsMW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYBo3FjWAAQwsMW?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FYBo3HHXwAUB7ta?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYBo3HHXwAUB7ta?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FYBo3LiXgAIB4ht?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYBo3LiXgAIB4ht?format=jpg&name=orig', altText=None)]",11,2022,7,July,19,Tuesday,29,2022-07-19,11:32:29
1549338744674832384,"In the air or on the ground, the #A350 is turning heads at #FIA2022. Dubbed as the #LongRangeLeader for its unique range capability of up to 18,000km, the A350 has flown 210M passengers so far in absolute comfort.
🎙 Have flown on the A350 yourself? Share your experience below! https://t.co/dNOMNGuBAu",Airbus,en,"['A350', 'FIA2022', 'LongRangeLeader']",20,99,582,12,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1549331745807409152/img/fzgDpew4jQQl4Aa6.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1549331745807409152/vid/640x360/6v_mJk0BqdfePDp3.mp4?tag=14', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1549331745807409152/vid/1280x720/4jKaZcDbL9BhDOd0.mp4?tag=14', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1549331745807409152/pl/AaFQmoiNdrGjQua0.m3u8?tag=14&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1549331745807409152/vid/480x270/PyeTJhYDkv7a7pxB.mp4?tag=14', contentType='video/mp4', bitrate=288000)], duration=76.96, views=31070, altText=None)]",10,2022,7,July,19,Tuesday,29,2022-07-19,10:21:56
1549317726035972098,"It's good to see 12 more #A220s joining @Delta's fleet, making the airline the largest customer for the type  with a total of 107 ordered 👏. We pride ourselves on seeing the A220 supporting Delta's efforts in shaping a more sustainable air travel. #FIA2022",Airbus,en,"['A220s', 'FIA2022']",5,24,212,6,,8,2022,7,July,19,Tuesday,29,2022-07-19,08:58:25
1549295569226682369,Liked Day 1 of #FIA2022? Stay tuned: you'll LOVE Day 2 with us! https://t.co/XdxSXIB7JH,Airbus,en,['FIA2022'],3,29,493,4,"[Photo(previewUrl='https://pbs.twimg.com/media/FYA0EkeXoAAJ4X9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYA0EkeXoAAJ4X9?format=jpg&name=orig', altText=None)]",7,2022,7,July,19,Tuesday,29,2022-07-19,07:30:22
1549075273173217280,Drum roll 🥁 ... On stage at #FIA2022: the #LongRangeLeader #A350! https://t.co/eY4b3RMMJP,Airbus,en,"['FIA2022', 'LongRangeLeader', 'A350']",50,325,2257,50,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FX9hnYcWYAMoem0.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1549063198946611200/vid/640x360/agv9HgdDLwXcSqzB.mp4?tag=14', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1549063198946611200/vid/1280x720/VbnXpIPrrgF3OcRI.mp4?tag=14', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1549063198946611200/vid/480x270/Nn5_2FLKCJnxA4yk.mp4?tag=14', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1549063198946611200/pl/pjcQDibLR45Y7daW.m3u8?tag=14&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=47.8, views=575830, altText=None)]",16,2022,7,July,18,Monday,29,2022-07-18,16:55:00
1549057317278294019,"It’s the emerging technology that can capture CO2 directly from the air - and the aviation industry is now taking notice 🕵️ to help us get closer to #netzero by 2050 🎯. 
Find out more about how it works ➡️ https://t.co/ZG5aXduURJ @1PointFiveCCUS #DACCS #FIA2022 https://t.co/u62ZTGrwlp",Airbus,en,"['netzero', 'DACCS', 'FIA2022']",4,28,130,7,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FX9Iu-5WYAI9a6g.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1549035871021801474/vid/480x270/QoZNPcUXudfZ2QRX.mp4?tag=14', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1549035871021801474/vid/640x360/1K5IRifqPANSGx8x.mp4?tag=14', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1549035871021801474/pl/ZXZCMJpVOp-y1ApA.m3u8?tag=14&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1549035871021801474/vid/1280x720/-_3rDPYLXbBxE772.mp4?tag=14', contentType='video/mp4', bitrate=2176000)], duration=58.815, views=12932, altText=None)]",15,2022,7,July,18,Monday,29,2022-07-18,15:43:39
1549023851710922752,Want a glimpse at what the future of aviation will look like? Then stop by our booth at #FIA2022 to discover how Airbus intends to pioneer sustainable aerospace with an innovative range of technologies and services. Learn more: https://t.co/9X4s1W449D https://t.co/AMqpxYQO3y,Airbus,en,['FIA2022'],6,30,253,1,"[Photo(previewUrl='https://pbs.twimg.com/media/FX8801HacAAYNak?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FX8801HacAAYNak?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FX8800ZXgAIbZ4d?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FX8800ZXgAIbZ4d?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FX883dFXkAIU33u?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FX883dFXkAIU33u?format=jpg&name=orig', altText=None)]",13,2022,7,July,18,Monday,29,2022-07-18,13:30:40
1548974356734394368,We are extremely proud to have @airBaltic and @ITAAirways on our static display here at #FIA2022 - two airlines operating a 100% Airbus fleet. Join us later this week for a tour of these beauties! https://t.co/QHY0M9aYEY,Airbus,en,['FIA2022'],6,43,460,2,"[Photo(previewUrl='https://pbs.twimg.com/media/FX8PYFWWIAIB06q?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FX8PYFWWIAIB06q?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FX8PeI_WAAUz7FY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FX8PeI_WAAUz7FY?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FX8P4CXWQAEUpbA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FX8P4CXWQAEUpbA?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FX8P5oIXkAIOY8S?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FX8P5oIXkAIOY8S?format=jpg&name=orig', altText=None)]",10,2022,7,July,18,Monday,29,2022-07-18,10:13:59
